date,premise_code,item_code,price
2023-11-17,17828,2,11.5
2023-11-17,17831,2,11.89
2023-11-17,17835,2,11.0
2023-11-17,17839,2,11.59
2023-11-17,17851,2,12.3
2023-11-17,17858,2,11.99
2023-11-17,17866,2,10.99
2023-11-17,17876,2,11.5
2023-11-17,17877,2,11.5
2023-11-17,17881,2,12.4
2023-11-17,17975,2,11.9
2023-11-17,17987,2,11.69
2023-11-17,18105,2,11.99
2023-11-17,18129,2,11.8
2023-11-17,18135,2,11.79
2023-11-17,18165,2,11.99
2023-11-17,18170,2,12.0
2023-11-17,18197,2,11.3
2023-11-17,18198,2,8.79
2023-11-17,18209,2,11.99
2023-11-17,18337,2,8.29
